date,price
1524833700,9293.99999974
1524834000,9293.0
1524834300,9293.95351066
1524834600,9240.0
1524834900,9254.07450035
1524835200,9198.99999999
1524835500,9199.99999999
1524835800,9189.0
1524836100,9209.21242064
1524836400,9222.92755504
1524836700,9223.97312723
1524837000,9214.208022
1524837300,9232.84447585
1524837600,9200.0
1524837900,9220.0
1524838200,9243.31673693
1524838500,9244.53306496
1524838800,9250.0
1524839100,9235.00000002
1524839400,9250.0
1524839700,9236.12334353
1524840000,9246.22
1524840300,9252.31592402
1524840600,9255.0
1524840900,9255.02221833
1524841200,9255.82599768
1524841500,9250.53221757
1524841800,9250.8
1524842100,9230.00000004
1524842400,9219.0
1524842700,9227.30892517
1524843000,9225.21600081
1524843300,9249.97572819
1524843600,9247.0
1524843900,9240.02221767
1524844200,9249.2812169
1524844500,9239.84651126
1524844800,9273.76149977
1524845100,9296.41516119
1524845400,9297.03118038
1524845700,9306.52
1524846000,9296.64118038
1524846300,9297.28
1524846600,9297.27454911
1524846900,9287.98656129
1524847200,9278.35382655
1524847500,9294.15205021
1524847800,9284.86718303
1524848100,9292.97572819
1524848400,9292.89999999
1524848700,9292.8
1524849000,9276.80000044
1524849300,9276.0
1524849600,9280.0
1524849900,9306.0
1524850200,9303.04443526
1524850500,9298.97572818
1524850800,9280.97572866
1524851100,9283.08887201
1524851400,9285.0
1524851700,9284.0
1524852000,9249.0
1524852300,9270.76380392
1524852600,9271.0
1524852900,9280.95351079
1524853200,9246.0
1524853500,9249.9555652
1524853800,9233.22227773
1524854100,9224.82600114
1524854400,9259.7577826
1524854700,9261.0
1524855000,9251.74825099
1524855300,9240.0
1524855600,9224.0
1524855900,9225.0
1524856200,9212.7
1524856500,9201.0222174
1524856800,9174.88825052
1524857100,9182.0
1524857400,9184.02427182
1524857700,9198.15702157
1524858000,9180.88463751
1524858300,9162.12959295
1524858600,9105.02427214
1524858900,9087.0001
1524859200,9168.84203743
1524859500,9130.6400003
1524859800,9149.94
1524860100,9121.08886977
1524860400,9082.78909099
1524860700,9088.16687358
1524861000,9074.97778259
1524861300,9015.0
1524861600,8975.0
1524861900,8977.39299985
1524862200,8993.04443517
1524862500,8983.57778259
1524862800,8934.0
1524863100,8971.1
1524863400,9024.84906023
1524863700,9037.19999995
1524864000,9025.0
1524864300,9000.0
1524864600,8977.23114251
1524864900,9001.0
1524865200,9005.00899101
1524865500,8990.02221782
1524865800,9026.5
1524866100,8998.41145445
1524866400,9000.99900134
1524866700,9024.2
1524867000,9037.52427181
1524867300,9035.25959134
1524867600,9025.19990276
1524867900,9064.99999999
1524868200,9059.99862031
1524868500,9055.57076102
1524868800,9080.0
1524869100,9075.8868582
1524869400,9055.0
1524869700,9030.0
1524870000,9022.5707617
1524870300,9047.74129431
1524870600,9050.95036992
1524870900,9049.25959149
1524871200,9027.10000066
1524871500,9019.59452419
1524871800,8965.13628365
1524872100,8965.2959146
1524872400,8990.29386019
1524872700,8996.34034975
1524873000,8954.04845575
1524873300,8920.01000009
1524873600,8888.0
1524873900,8903.84
1524874200,8924.81907477
1524874500,8941.85
1524874800,8954.07067319
1524875100,8975.34034974
1524875400,8999.99999999
1524875700,9026.68
1524876000,9039.0
1524876300,9027.00000005
1524876600,9006.37280327
1524876900,9000.0
1524877200,9006.37280327
1524877500,9017.34999999
1524877800,8973.52311471
1524878100,9027.48
1524878400,9001.61946124
1524878700,9025.55847806
1524879000,9025.55847841
1524879300,9050.0
1524879600,9092.6253188
1524879900,9090.1957
1524880200,9079.00951565
1524880500,9079.00951565
1524880800,9079.00951565
1524881100,9079.00951565
1524881400,9107.65162811
1524881700,9088.80347626
1524882000,9091.48594222
1524882300,9099.99999892
1524882600,9080.0222174
1524882900,9099.9999991
1524883200,9093.7272454
1524883500,9088.29502241
1524883800,9062.90610943
1524884100,9065.24997771
1524884400,9074.31522769
1524884700,9065.24997772
1524885000,9085.58
1524885300,9090.0
1524885600,9100.02221651
1524885900,9106.08632894
1524886200,9119.02698506
1524886500,9108.0
1524886800,9109.91706893
